"1.1","W1","Informācijas saspiešanas pamatjēdzieni","lossless01-concepts","yes"
"1.2","W1","Prefiksu kodi","lossless02-prefix","yes"
"1.3","W2","Aritmētiskie kodi","lossless03-arithmetic","yes"
"1.4","W3","Lempela-Ziva kodi","lossless04-lempel-ziv","yes"
"1.5","W4","Berouza-Vīlera transformācija","lossless05-burrows-wheeler","yes"
"1.6","W4","Bezzudumu saspiešana darbībā","lossless06-applications","yes"
"2.1","W5","Rastra attēlu saspiešana ar JPEG","lossy01-jpeg","yes"
"2.2","W6","Skaņas un video saspiešana","lossy02-media","yes"
"3.1","W7","Failu kontrolsummas","errors01-checksums","yes"
"3.2","W7","Heminga un lineārie kodi","errors02-hamming","yes"
"3.3","W8","Rīda-Solomona kodi","errors03-reed-solomon","yes"
"3.4","W8","Citi kļūdu labošanas veidi","errors04-other","yes"
"4.1","W9","Lineārās programmēšanas pamatjēdzieni","linear01-concepts","yes"
"4.2","W10","Simpleksu metode","linear02-simplex","yes"
"4.3","W10","Lineāro programmu dualitāte","linear03-duality","yes"
"4.4","W11","Elipsoīda metode","linear04-ellipsoid","yes"
"4.5","W12","Afīnās mērogošanas metode","linear05-interior-point","yes"
"5.1","W13","Virkņu meklēšanas jēdzieni","strings01-introduction","yes"
"5.2","W13","Rabina-Karpa un hešinga metodes","strings02-rabin-karp","yes"
"5.3","W14","Knuta-Morisa-Prata algoritms","strings03-kmp","yes"
"5.4","W14","Bojera-Mūra algoritms","strings04-boyer-moore","yes"
"5.5","W15","Sufiksu koki","strings05-suffix-trees","yes"
